"Town","FIPS","Year","Month","Admission Type","Measure Type","Variable","Value"
"Ansonia","0900901220","2014","December","Substance Abuse","Number","DMHAS Admissions",50
"Ansonia","0900901220","2015","January","Substance Abuse","Number","DMHAS Admissions",45
"Ansonia","0900901220","2015","February","Substance Abuse","Number","DMHAS Admissions",42
"Ansonia","0900901220","2015","March","Substance Abuse","Number","DMHAS Admissions",56
"Ansonia","0900901220","2015","April","Substance Abuse","Number","DMHAS Admissions",42
"Ansonia","0900901220","2015","May","Substance Abuse","Number","DMHAS Admissions",38
"Ansonia","0900901220","2015","June","Substance Abuse","Number","DMHAS Admissions",61
"Ansonia","0900901220","2015","July","Substance Abuse","Number","DMHAS Admissions",38
"Ansonia","0900901220","2015","August","Substance Abuse","Number","DMHAS Admissions",45
"Ansonia","0900901220","2015","September","Substance Abuse","Number","DMHAS Admissions",51
"Ansonia","0900901220","2015","October","Substance Abuse","Number","DMHAS Admissions",41
"Ansonia","0900901220","2015","November","Substance Abuse","Number","DMHAS Admissions",38
"Ansonia","0900901220","2015","December","Substance Abuse","Number","DMHAS Admissions",44
"Ansonia","0900901220","2016","January","Substance Abuse","Number","DMHAS Admissions",37
"Ansonia","0900901220","2016","February","Substance Abuse","Number","DMHAS Admissions",42
"Ansonia","0900901220","2016","March","Substance Abuse","Number","DMHAS Admissions",37
"Ansonia","0900901220","2016","April","Substance Abuse","Number","DMHAS Admissions",45
"Ansonia","0900901220","2016","May","Substance Abuse","Number","DMHAS Admissions",53
"Ansonia","0900901220","2016","June","Substance Abuse","Number","DMHAS Admissions",50
"Ansonia","0900901220","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2013","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2013","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2013","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2013","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2013","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2013","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2014","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2015","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2016","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2016","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2016","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2016","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2016","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2016","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Ashford","0901501430","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Ashford","0901501430","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2013","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2013","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2013","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2013","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2013","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2013","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2014","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2015","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2016","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2016","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2016","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2016","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2016","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2016","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Avon","0900302060","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Avon","0900302060","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2013","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2013","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2013","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2013","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2013","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2013","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2014","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2015","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2016","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2016","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2016","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2016","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2016","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2016","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Barkhamsted","0900502760","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Barkhamsted","0900502760","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2013","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2013","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2013","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2013","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2013","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2013","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2014","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2015","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2016","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2016","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2016","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2016","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2016","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2016","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Beacon Falls","0900903250","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Beacon Falls","0900903250","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2013","July","Substance Abuse","Number","DMHAS Admissions",27
"Berlin","0900304300","2013","August","Substance Abuse","Number","DMHAS Admissions",24
"Berlin","0900304300","2013","September","Substance Abuse","Number","DMHAS Admissions",22
"Berlin","0900304300","2013","October","Substance Abuse","Number","DMHAS Admissions",22
"Berlin","0900304300","2013","November","Substance Abuse","Number","DMHAS Admissions",16
"Berlin","0900304300","2013","December","Substance Abuse","Number","DMHAS Admissions",22
"Berlin","0900304300","2014","January","Substance Abuse","Number","DMHAS Admissions",21
"Berlin","0900304300","2014","February","Substance Abuse","Number","DMHAS Admissions",19
"Berlin","0900304300","2014","March","Substance Abuse","Number","DMHAS Admissions",25
"Berlin","0900304300","2014","April","Substance Abuse","Number","DMHAS Admissions",18
"Berlin","0900304300","2014","May","Substance Abuse","Number","DMHAS Admissions",24
"Berlin","0900304300","2014","June","Substance Abuse","Number","DMHAS Admissions",29
"Berlin","0900304300","2014","July","Substance Abuse","Number","DMHAS Admissions",35
"Berlin","0900304300","2014","August","Substance Abuse","Number","DMHAS Admissions",23
"Berlin","0900304300","2014","September","Substance Abuse","Number","DMHAS Admissions",27
"Berlin","0900304300","2014","October","Substance Abuse","Number","DMHAS Admissions",24
"Berlin","0900304300","2014","November","Substance Abuse","Number","DMHAS Admissions",13
"Berlin","0900304300","2014","December","Substance Abuse","Number","DMHAS Admissions",33
"Berlin","0900304300","2015","January","Substance Abuse","Number","DMHAS Admissions",22
"Berlin","0900304300","2015","February","Substance Abuse","Number","DMHAS Admissions",23
"Berlin","0900304300","2015","March","Substance Abuse","Number","DMHAS Admissions",22
"Berlin","0900304300","2015","April","Substance Abuse","Number","DMHAS Admissions",28
"Berlin","0900304300","2015","May","Substance Abuse","Number","DMHAS Admissions",25
"Berlin","0900304300","2015","June","Substance Abuse","Number","DMHAS Admissions",28
"Berlin","0900304300","2015","July","Substance Abuse","Number","DMHAS Admissions",28
"Berlin","0900304300","2015","August","Substance Abuse","Number","DMHAS Admissions",21
"Berlin","0900304300","2015","September","Substance Abuse","Number","DMHAS Admissions",26
"Berlin","0900304300","2015","October","Substance Abuse","Number","DMHAS Admissions",24
"Berlin","0900304300","2015","November","Substance Abuse","Number","DMHAS Admissions",20
"Berlin","0900304300","2015","December","Substance Abuse","Number","DMHAS Admissions",22
"Berlin","0900304300","2016","January","Substance Abuse","Number","DMHAS Admissions",21
"Berlin","0900304300","2016","February","Substance Abuse","Number","DMHAS Admissions",32
"Berlin","0900304300","2016","March","Substance Abuse","Number","DMHAS Admissions",30
"Berlin","0900304300","2016","April","Substance Abuse","Number","DMHAS Admissions",22
"Berlin","0900304300","2016","May","Substance Abuse","Number","DMHAS Admissions",26
"Berlin","0900304300","2016","June","Substance Abuse","Number","DMHAS Admissions",22
"Berlin","0900304300","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Berlin","0900304300","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Bethany","0900904580","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Bethany","0900904580","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Bethany","0900904580","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Bethany","0900904580","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Bethany","0900904580","2013","May","Substance Abuse","Number","DMHAS Admissions",0
